"","id","pairs","2008-09-09","2008-10-19","2008-12-13","2009-03-05","2009-04-17","2009-05-18"
"46",46,"57-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"47",47,"45-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"48",48,"23-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"49",49,"43-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"50",50,"37-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"51",51,"3-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"52",52,"72-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"53",53,"63-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"54",54,"47-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"55",55,"51-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"56",56,"9-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"57",57,"44-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"58",58,"64-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"59",59,"83-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"60",60,"14-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"61",61,"25-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"62",62,"28-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"63",63,"65-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"64",64,"57-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"65",65,"45-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"66",66,"70-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"67",67,"23-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"68",68,"43-2","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"69",69,"9-38","CloseFriend",NA,NA,NA,NA,NA
"70",70,"36-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"71",71,"72-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"72",72,"59-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"73",73,"52-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"74",74,"40-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"75",75,"9-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"76",76,"44-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"77",77,"66-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"78",78,"6-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"79",79,"30-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"80",80,"46-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"81",81,"35-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"82",82,"32-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"83",83,"14-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"84",84,"25-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"85",85,"28-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"86",86,"26-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"87",87,"65-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"88",88,"18-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"89",89,"54-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"90",90,"2-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"91",91,"68-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"92",92,"45-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"93",93,"70-38","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"94",94,"59-38","PoliticalDiscussant",NA,NA,NA,NA,NA
"95",95,"44-38","PoliticalDiscussant",NA,NA,NA,NA,NA
"96",96,"32-38","PoliticalDiscussant",NA,NA,NA,NA,NA
"97",97,"10-38","PoliticalDiscussant",NA,NA,NA,NA,NA
"98",98,"18-38","PoliticalDiscussant",NA,NA,NA,NA,NA
"99",99,"39-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"100",100,"37-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"101",101,"63-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"102",102,"47-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"103",103,"40-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"104",104,"50-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"105",105,"9-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"106",106,"44-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"107",107,"64-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"108",108,"46-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"109",109,"83-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"110",110,"14-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"111",111,"28-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"112",112,"65-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"113",113,"54-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"114",114,"45-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"115",115,"23-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"116",116,"43-38","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"117",117,"37-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"118",118,"72-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"119",119,"63-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"120",120,"59-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"121",121,"9-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"122",122,"44-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"123",123,"64-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"124",124,"6-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"125",125,"46-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"126",126,"14-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"127",127,"28-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"128",128,"65-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"129",129,"18-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"130",130,"57-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"131",131,"45-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"132",132,"70-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"133",133,"23-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"134",134,"43-38","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"135",135,"68-40","CloseFriend",NA,NA,NA,NA,NA
"136",136,"23-40","CloseFriend",NA,NA,NA,NA,NA
"137",137,"49-40","CloseFriend",NA,NA,NA,NA,NA
"138",138,"36-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"139",139,"72-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"140",140,"59-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"141",141,"47-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"142",142,"52-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"143",143,"29-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"144",144,"9-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"145",145,"44-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"146",146,"67-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"147",147,"6-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"148",148,"19-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"149",149,"30-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"150",150,"46-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"151",151,"32-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"152",152,"14-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"153",153,"38-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"154",154,"28-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"155",155,"26-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"156",156,"10-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"157",157,"65-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"158",158,"18-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"159",159,"54-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"160",160,"20-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"161",161,"62-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"162",162,"45-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"163",163,"70-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"164",164,"23-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"165",165,"49-40","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"166",166,"59-40","PoliticalDiscussant",NA,NA,NA,NA,NA
"167",167,"44-40","PoliticalDiscussant",NA,NA,NA,NA,NA
"168",168,"60-40","PoliticalDiscussant",NA,NA,NA,NA,NA
"169",169,"10-40","PoliticalDiscussant",NA,NA,NA,NA,NA
"170",170,"18-40","PoliticalDiscussant",NA,NA,NA,NA,NA
"171",171,"49-40","PoliticalDiscussant",NA,NA,NA,NA,NA
"172",172,"39-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"173",173,"37-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"174",174,"63-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"175",175,"47-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"176",176,"50-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"177",177,"9-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"178",178,"44-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"179",179,"83-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"180",180,"14-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"181",181,"38-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"182",182,"28-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"183",183,"26-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"184",184,"22-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"185",185,"65-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"186",186,"18-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"187",187,"54-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"188",188,"20-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"189",189,"62-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"190",190,"45-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"191",191,"23-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"192",192,"43-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"193",193,"49-40","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"194",194,"37-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"195",195,"72-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"196",196,"63-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"197",197,"59-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"198",198,"47-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"199",199,"9-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"200",200,"44-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"201",201,"6-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"202",202,"14-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"203",203,"38-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"204",204,"28-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"205",205,"26-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"206",206,"22-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"207",207,"65-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"208",208,"18-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"209",209,"20-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"210",210,"62-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"211",211,"45-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"212",212,"70-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"213",213,"23-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"214",214,"43-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"215",215,"49-40","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"216",216,"70-43","CloseFriend",NA,NA,NA,NA,NA
"217",217,"52-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"218",218,"64-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"219",219,"6-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"220",220,"65-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"221",221,"62-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"222",222,"68-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"223",223,"70-43","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"224",224,"1-43","PoliticalDiscussant",NA,NA,NA,NA,NA
"225",225,"10-43","PoliticalDiscussant",NA,NA,NA,NA,NA
"226",226,"8-43","PoliticalDiscussant",NA,NA,NA,NA,NA
"227",227,"39-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"228",228,"37-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"229",229,"63-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"230",230,"40-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"231",231,"50-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"232",232,"9-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"233",233,"44-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"234",234,"83-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"235",235,"14-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"236",236,"28-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"237",237,"65-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"238",238,"62-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"239",239,"45-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"240",240,"70-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"241",241,"23-43","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"242",242,"37-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"243",243,"72-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"244",244,"63-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"245",245,"9-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"246",246,"44-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"247",247,"6-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"248",248,"14-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"249",249,"28-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"250",250,"65-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"251",251,"62-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"252",252,"45-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"253",253,"70-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"254",254,"23-43","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"255",255,"72-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"256",256,"11-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"257",257,"21-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"258",258,"27-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"259",259,"57-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"260",260,"31-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"261",261,"70-52","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"262",262,"11-52","PoliticalDiscussant",NA,NA,NA,NA,NA
"263",263,"10-52","PoliticalDiscussant",NA,NA,NA,NA,NA
"264",264,"57-52","PoliticalDiscussant",NA,NA,NA,NA,NA
"265",265,"39-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"266",266,"37-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"267",267,"63-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"268",268,"50-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"269",269,"9-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"270",270,"83-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"271",271,"14-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"272",272,"28-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"273",273,"65-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"274",274,"31-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"275",275,"45-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"276",276,"23-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"277",277,"43-52","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"278",278,"37-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"279",279,"72-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"280",280,"63-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"281",281,"47-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"282",282,"9-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"283",283,"14-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"284",284,"28-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"285",285,"65-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"286",286,"31-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"287",287,"45-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"288",288,"70-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"289",289,"23-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"290",290,"43-52","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"291",291,"70-62","CloseFriend",NA,NA,NA,NA,NA
"292",292,"49-62","CloseFriend",NA,NA,NA,NA,NA
"293",293,"36-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"294",294,"59-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"295",295,"52-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"296",296,"9-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"297",297,"44-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"298",298,"19-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"299",299,"30-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"300",300,"46-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"301",301,"35-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"302",302,"32-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"303",303,"38-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"304",304,"26-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"305",305,"65-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"306",306,"18-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"307",307,"54-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"308",308,"20-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"309",309,"68-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"310",310,"45-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"311",311,"70-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"312",312,"8-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"313",313,"43-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"314",314,"49-62","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"315",315,"59-62","PoliticalDiscussant",NA,NA,NA,NA,NA
"316",316,"44-62","PoliticalDiscussant",NA,NA,NA,NA,NA
"317",317,"35-62","PoliticalDiscussant",NA,NA,NA,NA,NA
"318",318,"10-62","PoliticalDiscussant",NA,NA,NA,NA,NA
"319",319,"8-62","PoliticalDiscussant",NA,NA,NA,NA,NA
"320",320,"49-62","PoliticalDiscussant",NA,NA,NA,NA,NA
"321",321,"39-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"322",322,"37-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"323",323,"63-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"324",324,"40-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"325",325,"50-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"326",326,"9-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"327",327,"44-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"328",328,"46-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"329",329,"35-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"330",330,"14-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"331",331,"28-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"332",332,"65-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"333",333,"54-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"334",334,"20-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"335",335,"45-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"336",336,"70-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"337",337,"23-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"338",338,"43-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"339",339,"49-62","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"340",340,"37-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"341",341,"72-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"342",342,"63-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"343",343,"59-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"344",344,"9-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"345",345,"44-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"346",346,"6-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"347",347,"46-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"348",348,"14-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"349",349,"28-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"350",350,"65-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"351",351,"20-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"352",352,"45-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"353",353,"70-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"354",354,"23-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"355",355,"43-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"356",356,"49-62","BlogLivejournalTwitter",NA,NA,NA,NA,NA
"357",357,"66-5","CloseFriend",NA,NA,NA,NA,NA
"358",358,"36-5","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"359",359,"59-5","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"360",360,"17-5","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"361",361,"52-5","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"362",362,"9-5","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"363",363,"69-5","SocializeTwicePerWeek",NA,NA,NA,NA,NA
