,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
17,5,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
18,5,32,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
19,5,38,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,4,4
20,5,40,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,6,6,6,6
21,5,45,22,0,2,11,13,13,13,13,13,13,13,13,13,22,22,22,22,22,22,22,22
22,5,62,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
23,5,65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24,5,68,9,0,0,0,0,0,0,0,0,0,0,0,1,8,8,9,9,9,9,9,9
25,6,22,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
27,6,44,4,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4
28,6,46,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
29,6,47,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
30,7,4,622,0,1,1,1,1,17,41,80,143,192,235,259,305,352,385,429,470,513,533,581
31,8,70,69,0,3,17,20,24,26,31,37,51,63,63,64,65,65,65,65,65,69,69,69
32,9,4,12,0,0,0,0,2,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12
33,9,35,8,0,0,0,0,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
34,9,45,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35,9,50,22,0,0,0,2,6,9,22,22,22,22,22,22,22,22,22,22,22,22,22,22
36,9,66,4,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
37,10,19,26,0,0,0,1,3,10,14,16,16,24,24,26,26,26,26,26,26,26,26,26
38,10,35,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,10,45,25,0,0,0,0,6,12,20,21,22,25,25,25,25,25,25,25,25,25,25,25
40,10,65,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
41,10,66,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,11,16,237,0,5,40,42,42,42,42,108,109,140,147,184,194,217,220,225,227,227,231,237
43,11,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2
44,11,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
45,11,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
46,11,31,3,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
47,11,63,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
48,12,23,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
49,12,44,17,0,0,2,2,2,2,2,2,2,10,12,17,17,17,17,17,17,17,17,17
50,12,51,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
51,12,55,185,0,0,24,42,42,42,47,70,77,82,104,129,162,178,185,185,185,185,185,185
52,14,44,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
53,14,46,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,14,65,8,0,0,1,2,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
55,14,74,2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,15,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
57,15,19,4,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,4
58,15,40,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
59,15,48,56,0,0,0,2,15,23,34,34,35,36,41,43,44,45,48,48,48,48,51,56
60,15,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
61,15,67,22,0,0,0,1,1,1,1,1,2,2,2,4,4,4,5,12,12,13,21,22
62,16,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
63,16,11,124,0,11,49,72,85,106,113,113,113,113,114,123,124,124,124,124,124,124,124,124
64,16,21,7,0,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7
65,16,24,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,16,31,70,4,42,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
67,16,63,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
68,18,6,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,18,19,7,0,0,0,3,3,3,5,5,5,5,5,7,7,7,7,7,7,7,7,7
70,18,22,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,18,23,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72,18,26,5,0,0,0,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
73,18,44,60,0,4,4,4,7,7,8,42,44,54,56,60,60,60,60,60,60,60,60,60
74,18,48,6,0,0,0,2,2,2,2,2,3,3,6,6,6,6,6,6,6,6,6,6
75,18,67,10,0,0,0,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
76,18,71,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
77,18,72,29,0,0,0,8,9,9,24,26,26,26,27,29,29,29,29,29,29,29,29,29
78,19,15,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
79,19,18,9,0,2,2,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9
80,19,22,17,0,4,4,4,5,5,7,7,9,9,10,11,11,15,16,17,17,17,17,17
81,19,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
82,19,26,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
83,19,29,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,19,44,4,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
85,19,65,13,0,4,4,5,5,5,5,5,6,6,8,13,13,13,13,13,13,13,13,13
86,20,22,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,20,23,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,20,30,296,0,10,29,33,62,70,107,155,161,166,173,187,202,210,214,231,247,274,291,296
89,20,36,43,0,0,0,1,1,3,3,3,3,3,8,8,10,19,22,26,35,36,37,43
90,20,42,65,0,0,2,3,3,3,6,24,24,28,32,36,36,46,49,57,57,63,65,65
91,20,46,8,0,0,1,1,1,1,1,5,7,7,7,7,7,7,7,8,8,8,8,8
92,20,71,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
93,21,4,20,0,0,0,2,2,2,2,2,3,4,5,14,14,14,14,15,17,20,20,20
94,21,7,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,21,11,3,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
96,21,16,26,0,22,22,22,22,22,22,22,22,22,22,23,23,23,23,24,24,26,26,26
97,21,24,8,0,1,4,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,8,8
98,21,27,28,0,0,2,6,6,14,20,22,23,24,24,24,24,24,25,26,28,28,28,28
99,21,31,74,0,23,36,36,36,36,64,64,64,64,64,65,68,68,69,70,74,74,74,74
100,21,56,12,0,0,0,0,0,0,6,6,6,6,6,6,6,12,12,12,12,12,12,12
101,21,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
102,21,63,78,0,4,14,25,32,36,40,44,45,47,54,56,63,64,67,69,76,78,78,78
103,22,6,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
104,22,19,20,0,0,0,0,1,2,4,4,6,6,7,8,8,12,13,14,18,19,20,20
105,22,20,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
106,22,32,3,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
107,22,36,5,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,5,5,5,5
108,22,40,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,22,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,10,10,10
110,22,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
111,22,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4
112,22,62,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
113,22,68,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
114,22,70,7,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
115,22,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,22,72,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3
117,23,6,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
118,23,18,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
119,23,19,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
120,23,20,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,23,27,20,0,0,0,0,0,0,0,0,12,20,20,20,20,20,20,20,20,20,20,20
122,23,31,2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
123,23,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
124,23,44,7,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,6,7,7,7
125,23,46,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
126,23,72,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
127,23,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
128,24,4,6,0,0,0,0,0,0,0,0,3,3,6,6,6,6,6,6,6,6,6,6
129,24,16,145,0,5,5,5,6,6,6,9,9,9,9,9,9,140,142,144,145,145,145,145
130,24,21,6,0,1,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6
131,24,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,14,14,14,14
132,24,31,69,0,0,1,4,6,6,6,6,6,8,8,8,11,63,63,64,69,69,69,69
133,24,56,15,0,0,0,0,0,0,0,3,3,3,4,10,14,15,15,15,15,15,15,15
134,24,58,1265,25,110,203,286,360,407,471,601,651,683,792,856,916,1074,1135,1171,1202,1259,1265,1265
135,24,63,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,10,11,11,11,11
136,25,2,37,0,0,0,1,2,8,16,33,37,37,37,37,37,37,37,37,37,37,37,37
137,26,18,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
138,26,19,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
139,26,65,390,0,0,14,44,44,44,44,103,236,359,374,390,390,390,390,390,390,390,390,390
140,27,4,4,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4
141,27,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
142,27,21,20,0,2,3,6,6,11,12,12,12,13,13,13,13,13,16,17,19,20,20,20
143,27,23,46,0,2,2,2,4,4,8,13,36,46,46,46,46,46,46,46,46,46,46,46
144,27,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,23,23,23,23
145,27,26,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,27,31,13,0,0,1,1,1,1,1,4,9,10,13,13,13,13,13,13,13,13,13,13
147,27,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
148,28,55,7,0,0,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
149,28,67,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
150,29,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,29,19,4,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
152,29,68,26,0,9,11,12,14,17,19,20,23,25,26,26,26,26,26,26,26,26,26,26
153,29,76,55,0,2,6,9,12,19,22,22,52,54,55,55,55,55,55,55,55,55,55,55
154,29,77,35,1,4,9,9,10,15,16,16,32,35,35,35,35,35,35,35,35,35,35,35
155,30,20,272,0,11,31,37,56,65,95,134,142,147,155,169,185,194,197,214,226,249,262,272
156,30,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
157,30,36,92,0,0,1,4,4,7,12,15,15,17,18,18,26,30,33,46,53,65,77,92
158,30,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
159,30,44,3,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
160,30,46,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
161,30,60,58,0,1,33,38,38,51,51,51,53,53,55,55,58,58,58,58,58,58,58,58
162,30,65,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
163,30,71,15,0,2,2,3,3,4,4,4,5,6,7,7,7,7,7,7,7,14,15,15
164,31,4,8,0,0,0,2,2,2,2,2,2,2,2,2,2,5,6,7,7,8,8,8
165,31,11,15,2,6,9,13,13,13,13,13,13,13,13,14,15,15,15,15,15,15,15,15
166,31,16,1038,44,267,432,435,441,441,498,645,648,648,649,650,694,1023,1030,1033,1035,1036,1036,1038
167,31,21,59,2,15,30,32,32,32,50,50,50,50,50,50,52,52,53,53,57,57,59,59
168,31,23,2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
169,31,24,229,0,1,3,10,12,12,12,12,12,12,13,14,23,198,201,205,210,211,215,229
170,31,27,18,2,2,4,4,4,4,4,9,11,12,16,16,17,18,18,18,18,18,18,18
171,31,33,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
172,31,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
173,31,56,15,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,14,14,14,15,15
174,31,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
175,31,58,31,0,13,20,20,20,20,20,20,20,20,28,28,30,30,31,31,31,31,31,31
176,32,6,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,32,46,2,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
178,32,54,15,0,1,2,2,2,2,4,5,5,5,5,15,15,15,15,15,15,15,15,15
179,32,62,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
180,32,68,23,0,0,0,0,0,0,1,6,11,17,18,21,23,23,23,23,23,23,23,23
181,32,77,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
182,33,31,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
183,33,56,20,0,0,0,7,8,9,10,10,10,10,10,15,15,20,20,20,20,20,20,20
184,33,58,33,0,0,1,5,6,18,22,22,24,24,26,28,31,32,33,33,33,33,33,33
185,33,76,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
186,35,9,17,0,0,0,0,4,4,6,6,6,9,10,10,11,12,13,17,17,17,17,17
187,35,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
188,35,50,7,0,0,0,0,0,0,0,0,0,1,1,3,4,7,7,7,7,7,7,7
189,35,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
190,35,66,23,0,0,0,0,2,3,3,4,6,12,14,19,20,20,21,23,23,23,23,23
191,35,69,12,0,0,8,8,9,9,10,11,11,11,11,11,12,12,12,12,12,12,12,12
192,36,20,9,0,0,0,0,0,2,2,2,2,2,7,7,9,9,9,9,9,9,9,9
193,36,22,6,0,0,0,0,0,0,0,0,4,5,6,6,6,6,6,6,6,6,6,6
194,36,30,28,0,0,0,0,0,2,5,18,18,20,21,21,28,28,28,28,28,28,28,28
195,36,38,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,36,42,6,0,1,2,2,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6
197,36,44,8,0,0,1,1,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8
198,36,46,7,0,1,1,1,3,3,6,6,6,6,6,6,7,7,7,7,7,7,7,7
199,36,68,41,0,1,10,11,11,15,18,39,40,41,41,41,41,41,41,41,41,41,41,41
200,36,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
201,37,1,19,0,1,1,3,3,3,3,5,5,5,13,13,13,13,13,19,19,19,19,19
202,42,9,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,42,20,54,0,0,2,2,2,2,5,24,24,27,27,32,33,34,37,46,46,53,54,54
204,42,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
205,42,36,22,0,2,3,3,3,3,6,6,7,7,7,7,7,10,10,16,18,22,22,22
206,42,44,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
207,42,60,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,42,66,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,42,71,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3
210,43,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,43,34,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,43,40,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
213,43,51,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
214,43,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
215,43,62,6,0,0,0,0,0,0,0,0,1,4,6,6,6,6,6,6,6,6,6,6
216,43,64,50,0,0,1,2,2,7,25,28,36,50,50,50,50,50,50,50,50,50,50,50
217,43,70,13,0,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
218,44,4,15,1,1,12,12,12,12,13,13,13,13,13,15,15,15,15,15,15,15,15,15
219,44,6,11,2,2,4,4,4,4,4,4,4,5,8,10,10,10,10,10,10,11,11,11
220,44,12,19,0,3,4,4,4,6,8,9,9,15,16,19,19,19,19,19,19,19,19,19
221,44,14,8,0,0,2,3,3,3,3,3,3,3,3,3,4,4,7,8,8,8,8,8
222,44,18,23,0,0,0,0,1,1,1,16,16,19,19,23,23,23,23,23,23,23,23,23
223,44,19,4,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
224,44,21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,44,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8
226,44,23,8,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,8,8,8,8
227,44,30,2,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
228,44,36,10,0,0,1,1,4,4,4,4,4,4,7,7,7,7,7,7,10,10,10,10
229,44,42,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
230,44,43,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
231,44,46,51,6,11,13,13,22,23,26,33,33,35,38,38,38,39,40,40,47,51,51,51
232,44,50,13,0,0,0,0,0,0,0,0,0,8,9,13,13,13,13,13,13,13,13,13
233,44,60,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4
234,44,64,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4
235,44,65,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,44,71,8,0,1,1,2,4,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8
237,45,9,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
238,45,50,3,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3
239,45,65,6,0,0,0,0,0,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6
240,46,6,7,0,0,0,0,0,0,1,1,1,1,3,4,5,5,5,6,6,7,7,7
241,46,14,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3
242,46,20,10,1,2,3,3,3,3,3,8,9,9,9,9,9,9,9,10,10,10,10,10
243,46,23,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
244,46,30,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
245,46,32,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
246,46,36,11,0,1,1,1,3,3,6,6,6,6,6,6,7,7,7,11,11,11,11,11
247,46,43,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,5,5
248,46,44,62,2,8,14,15,24,25,29,44,44,48,50,50,50,51,52,54,61,62,62,62
249,46,71,15,0,2,2,4,6,8,8,8,10,10,14,14,14,15,15,15,15,15,15,15
250,46,77,3,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
251,47,6,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,47,74,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
253,48,15,38,0,0,0,1,11,19,28,28,28,28,31,33,35,36,38,38,38,38,38,38
254,48,18,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
255,50,22,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,50,44,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
257,50,47,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
258,51,12,12,0,0,5,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
259,51,35,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,51,55,11,0,4,7,8,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
261,51,67,25,0,4,4,8,13,15,15,19,25,25,25,25,25,25,25,25,25,25,25,25
262,52,4,3,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
263,52,7,499,0,69,189,279,347,384,412,438,466,494,499,499,499,499,499,499,499,499,499,499
264,52,9,48,0,17,37,37,39,44,47,47,47,48,48,48,48,48,48,48,48,48,48,48
265,52,21,4,0,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
266,52,24,4,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4
267,52,31,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,52,44,11,0,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
269,52,57,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,52,58,2,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
271,54,32,4,0,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
272,54,40,2,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
273,54,62,6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
274,54,68,7,0,0,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
275,54,70,7,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
276,55,7,112,0,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
277,55,9,17,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
278,55,12,281,0,0,26,44,111,136,173,210,225,235,253,255,274,281,281,281,281,281,281,281
279,55,21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,55,25,14,0,0,0,4,5,5,8,11,13,13,14,14,14,14,14,14,14,14,14,14
281,55,28,24,0,0,2,6,14,15,18,18,18,18,24,24,24,24,24,24,24,24,24,24
282,55,47,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
283,55,51,18,0,0,3,3,6,6,6,6,7,8,11,13,17,17,18,18,18,18,18,18
